$$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Name$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,Sequence
Bundle to Bundle Component Relationship,AI Specialist Certification,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,PRC-000000009,Specialized Certifications,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,
Bundle to Bundle Component Relationship,LLM Certification,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,PRC-000000010,Specialized Certifications,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Accessories;Bundle to Bundle Component Relationship,USB C multiport adapter hub with 4K HDMI,BundleComponent,,true,true,true,false,,,PRC-000000012,Laptop Accessories,Bundle,,Laptop Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Accessories;Bundle to Bundle Component Relationship,Headset,BundleComponent,,true,true,true,false,,,PRC-000000013,Laptop Accessories,Bundle,,Laptop Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Accessories;Bundle to Bundle Component Relationship,Laptop Bag,BundleComponent,,true,true,true,false,,,PRC-000000011,Laptop Accessories,Bundle,,Laptop Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Certifications;Bundle to Bundle Component Relationship,Admin Certification,BundleComponent,,true,true,true,false,,,PRC-000000015,Professional Certifications,Bundle,,Certifications,Bundle to Bundle Component Relationship,1,Proportional,
Certifications;Bundle to Bundle Component Relationship,Developer Certification,BundleComponent,,true,true,true,false,,,PRC-000000014,Professional Certifications,Bundle,,Certifications,Bundle to Bundle Component Relationship,1,Proportional,
Certifications;Bundle to Bundle Component Relationship,Specialized Certifications,BundleComponent,,false,false,false,false,,,PRC-000000016,Professional Certifications,Bundle,,Certifications,Bundle to Bundle Component Relationship,1,Proportional,
Mega Package;Bundle to Bundle Component Relationship,Keyboard,BundleComponent,,true,true,true,false,,,PRC-000000040,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,4
Mega Package;Bundle to Bundle Component Relationship,Laptop,BundleComponent,,true,true,true,false,,,PRC-000000037,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,1
Mega Package;Bundle to Bundle Component Relationship,Mouse,BundleComponent,,true,true,true,false,,,PRC-000000041,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,5
Mega Package;Bundle to Bundle Component Relationship,Printer,BundleComponent,,true,true,true,false,,,PRC-000000043,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,7
Mega Package;Bundle to Bundle Component Relationship,USB C multiport adapter hub with 4K HDMI,BundleComponent,,true,true,true,false,,,PRC-000000044,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,8
Mega Package;Bundle to Bundle Component Relationship,Laptop Bag,BundleComponent,,true,true,true,false,,,PRC-000000038,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,2
OF001;Mega Package;Bundle to Bundle Component Relationship,Office 365,BundleComponent,,true,true,true,false,,,PRC-000000042,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,6
Mega Package;Bundle to Bundle Component Relationship,External Hard Drive,BundleComponent,,true,true,true,false,,,PRC-000000046,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,10
Mega Package;Bundle to Bundle Component Relationship,Noise-Canceling Headphones,BundleComponent,,true,true,true,false,,,PRC-000000045,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,9
Mega Package;Bundle to Bundle Component Relationship,Laptop Stand,BundleComponent,,true,true,true,false,,,PRC-000000039,Laptop Productivity Bundle,Bundle,,Mega Package,Bundle to Bundle Component Relationship,1,Proportional,3
